,name,address,postalCode,latitude,longitude,categories
0,Byron,"29-31, North Bridge", ,55.9503359,-3.1873499,"restaurant amenity, burger cuisine"
1,Mother India's Cafe,"3-5, Infirmary Street", ,55.9480977,-3.1860003,"restaurant amenity, indian cuisine"
2,Claire Doig,"15, Roseburn Terrace", ,55.9454223,-3.2341744,hairdresser shop
3,Police Scotland Edinburgh Office, , ,55.9603528,-3.2252733,police amenity
4,Thomson's Land,Holyrood Road,EH8 8AQ,55.95079574858425,-3.179993117970168,university building
5,Seafield Sewage Works, , ,55.971538902463244,-3.143168504308043, 
6,Old Calton Burial Ground,"17, Waterloo Place",EH1 3BQ,55.953399155994084,-3.185972071602543, 
7,Ardmillan Bowling Club Pavilion, , ,55.93844553803338,-3.225579803619476,club_house building
8,Trailfinders,"14, Castle Street", ,55.9514709,-3.203336,travel_agency shop
9,Campbell Park, , ,55.90481743418035,-3.272101693747678, 
10,Tenpin, , ,55.9419211,-3.2163721, 
11,Wardie Bowling Club, , ,55.97473738369395,-3.218848546221597, 
12,Real Scot Shop,"16, High Street", ,55.9504552,-3.1846762,gift shop
13,The Banshee Labyrinth,"29-35, Niddry Street", ,55.9493788,-3.1869167,pub amenity
14,Scotmid,"47, Roseburn Terrace", ,55.9455703,-3.235105,convenience shop
15,David Hume Tower, , ,55.94321642801143,-3.186533613374073,university building
16,Sunshine Yoga,"6-8, Alexander Drive",EH11 2RH,55.9365015,-3.2411278, 
17,Orthodox Church of St Andrew,"2, Meadow Lane", ,55.94213016099648,-3.186377520356696,"yes building, place_of_worship amenity"
18,Church of Latter Day Saints, , ,55.93071599893259,-3.221795489432221,"church building, place_of_worship amenity"
19,Queensferry Bowling Club, , ,55.98864085000001,-3.39216565, 
20,Ishi,"4, Roseneath Street", ,55.93826,-3.1920598,hairdresser shop
21,GJ Hunter Solicitors,"26-28, Meadowbank Terrace", ,55.9546776,-3.157307, 
22,Edinburgh Turkish Cultural Center, , ,55.9390769,-3.2276614,community_centre amenity
23,Gun Emplacement, , ,55.91001875249466,-3.175726742527676,yes building
24,Coade Stone Pillars, , ,55.9519777,-3.1041094, 
25,PetsAtHome,"4, Gylemuir Road",EH12 7UF,55.94152033343765,-3.29475744965203,"pet shop, retail building"
26,Monkey Walkthrough, , ,55.9432707,-3.2690805, 
27,Craigmillar Castle Park Cemetery, , ,55.92677747763721,-3.151088148140021,grave_yard amenity
28,The BARBER Shop, , ,55.8948181,-3.0692047,hairdresser shop
29,Genetic Services, , ,55.962542400000004,-3.23369755,yes building
30,The Wax Bar,"133B, Rose Street",EH2 4LS,55.9516961,-3.2037604,beauty shop
31,Robert Graham,"194, Rose Street", ,55.9513714,-3.2048577,alcohol shop
32,Mail Boxes Etc,"196, Rose Street", ,55.951352,-3.2049738,copyshop shop
33,Royal Victoria Building, , ,55.962935814162556,-3.232960949614888,yes building
34,Torino,"137, Restalrig Road", ,55.965961899999996,-3.155494,pub amenity
35,Canongate Kirk, , ,55.95186898353017,-3.179641675632795,"church building, place_of_worship amenity"
36,The Foresters Guild, , ,55.9551291,-3.1178027,pub amenity
37,Springside Edinburgh, , ,55.94251526299637,-3.214139813494133, 
38,Purslane,"33A, St Stephen Street",EH3 5AH,55.9579133,-3.2068151,restaurant amenity
39,Conan Doyle,"73, York Place", ,55.9564749,-3.1878523,pub amenity
40,Clifton Hall School,Clifton Road,EH28 8LQ,55.92241157971455,-3.427338946360022,school amenity
41,Kirkliston Bowling Club, , ,55.9551859937282,-3.4021949538376, 
42,View Forth Grocers,"1, St Peter's Buildings", ,55.9398316,-3.2120903,convenience shop
43,The Hanging Bat,"133-135, Lothian Road", ,55.9455128,-3.2050648,bar amenity
44,Duckworth Alexander,"13-15, Kingsknowe Park", ,55.916274,-3.261013, 
45,Pentlands Foods,"3, Kingsknowe Park", ,55.9161915,-3.260639,"cafe amenity, coffee_shop cuisine"
46,IDES Electrical Services,"5-7, Kingsknowe Park", ,55.9162147,-3.2607448, 
47,Kirkliston Library,"16, Station Road",EH29 9BE,55.95528873245485,-3.401551998585142,"yes building, library amenity"
48,Prestonfield House, , ,55.9366417,-3.157087,restaurant amenity
49,Tracey Victoria Interiors,"1, Kingsknowe Park", ,55.9161715,-3.2605484000000002,interior_decoration shop
50,Mr Lin,"11, Kingsknowe Park", ,55.9162493,-3.2609015,"restaurant amenity, chinese cuisine"
51,The Slug and Lettuce,"111-113, George Street", ,55.9525837,-3.2041424,bar amenity
52,Hung Fung,"124, Ferry Road", ,55.974573,-3.1850258,"fast_food amenity, chinese cuisine"
53,Little Voices Nursery,"46, Bruntsfield Place",EH10 4HQ,55.9390116,-3.2052646,kindergarten amenity
54,Cascal,"58, Constitution Street", ,55.9746575,-3.1674844,beauty shop
55,Shore Avocado,"32, Constitution Street", ,55.975148,-3.1670086,fast_food amenity
56,No 1 Sandwich Bar,"1, Bernard Street", ,55.97521,-3.1670316,fast_food amenity
57,Sonas B&B,"3, East Mayfield",EH9 1SD,55.933934,-3.1731387, 
58,Kingsway Guest House,"5, East Mayfield",EH9 1SD,55.9339756,-3.1729262, 
59,Thistles,"18, Home Street", ,55.9432659,-3.2039424,cafe amenity
60,Craigroyston FC, , ,55.96911854999999,-3.192726399999999, 
61,Crumbs of Portobello,Portobello Promenade, ,55.95585597636451,-3.11290243224638,"yes building, cafe amenity, coffee_shop cuisine"
62,Granton Retail Park, , ,55.98298272621619,-3.226124169765725, 
63,Gordon Highlanders - South African War, , ,55.9484098,-3.1977832, 
64,Cockburn Court,"45, Maidencraig Crescent", ,55.9575206,-3.2475261,social_facility amenity
65,Kinleith Mill, , ,55.89795557591355,-3.298705232678723, 
