,name,address,postalCode,latitude,longitude,categories
0,Monroeville Messenger Service, , ,40.4347002,-79.7539803, 
1,Squirrel Hill Plaza, , ,40.41935787040813,-79.92792836063921,commercial building
2,Mellon Memorial Gateway, , ,40.5225397,-79.8796974, 
3,Holocaust Memorial, , ,40.42764933334705,-79.91661299579089, 
4,Schenley Disc Golf Course Hole 2, , ,40.43102094139972,-79.94664610625786, 
5,PNC Bank, , ,40.42182986660677,-79.92859695060937,"yes building, bank amenity"
6,Lance Corporal Patrick B. Kenny Memorial Field, , ,40.50868848924139,-80.08954482030023, 
7,Moon Township Auto Body, , ,40.5246256,-80.2156052,car_repair shop
8,Kelly Cars West,"5408, University Boulevard",15108,40.52625787394439,-80.21229535361496,car shop
9,Information Networking Institute,"4616, Henry St",15213,40.44605775792372,-79.94802218520246,university building
10,Panther Statue, , ,40.4440714,-79.961164, 
11,Shaler Area Middle School,"1810, Mount Royal Boulevard",15116,40.52744876323268,-79.96322061918738,school building
12,Reserve Elementary School,"2107, Lonsdale Street",15212,40.475584924906414,-79.98118985304919,commercial building
13,Dietch's Bar & Grille, , ,40.492917641337414,-79.8625380216937,"yes building, bar amenity"
14,Jim and Lou Lou's, , ,40.328322072420264,-80.0378773215336,"yes building, restaurant amenity"
15,Blawknox Veterans Memorial, , ,40.493415848671944,-79.86226066438343, 
16,Classic Chevrolet Pre-Owned, , ,40.494574286876635,-80.05290153122341,"car shop, retail building"
17,Providence Point,"500, Providence Point",15243,40.3785824,-80.089121,social_facility amenity
18,Chabad of the South Hills,"1701, McFarland Road",15216,40.3968151,-80.0463754,place_of_worship amenity
19,Golden Triangle Bike Rentals, , ,40.434912,-79.9968345,bicycle shop
20,Homestead Park United Methodist Church Kindergarten, , ,40.3766904,-79.9036707,school amenity
21,North Hills Christian Church, , ,40.550488,-79.9973122,place_of_worship amenity
22,Serenity Styles,"718, Chartiers Avenue",15136,40.4657814,-80.0621468,beauty shop
23,Pizza Marsala, , ,40.3312524,-79.7438031,restaurant amenity
24,Springdale Cemetery, , ,40.544652576920804,-79.77936748488311, 
25,Baseball Field, , ,40.317627393482844,-79.72270476069036, 
26,Target, , ,40.460740743629756,-79.92131775338486,"department_store shop, yes building"
27,Abraham Lincoln Elementary School, , ,40.354177827552014,-80.01800471771925,school building
28,Silver Palace, , ,40.37741999457169,-80.00374491335496,"retail building, restaurant amenity, chinese cuisine"
29,Fantastic Sams, , ,40.3649049,-80.0177555,yes shop
30,Curry Commons, , ,40.349756118894014,-79.995712807238, 
31,North Ave at Fremont St, , ,40.4821994,-79.9738105, 
32,Glenshaw Alliance Church, , ,40.5503668,-79.9725053,place_of_worship amenity
33,Most Holy Name Church, , ,40.4640633,-79.9837063,place_of_worship amenity
34,Glenshaw Valley Presbyterian Church, , ,40.5290605,-79.9570859,place_of_worship amenity
35,Golden Triangle Church of Religious Science, , ,40.5322616,-80.1605053,place_of_worship amenity
36,Good Samaritan Baptist Church, , ,40.4497301,-79.9722483,place_of_worship amenity
37,Marshalls,"1900, Greentree Road",15220,40.3963188,-80.0675008,department_store shop
38,Bicycle Museum,"1800, Columbus Avenue",15233,40.45631290849629,-80.03241359836102,yes building
39,United Presbyterian Church in Ingram, , ,40.44551077640226,-80.06643978018992,"yes building, place_of_worship amenity"
40,St Nicholas Byzantine Rectory, , ,40.349966797603706,-79.86237736216013,yes building
41,St Nicholas Byzantine Cathollic Schoo (closed)(, , ,40.34985394121948,-79.8620721458202,yes building
42,Saint Andrews Episcopal Church,"5801, Hampton Street",15206,40.474617460239074,-79.92107945784669,"yes building, place_of_worship amenity"
43,Saint Nicholas Byzantine Catholic Church,"410, 6th Ave",15132,40.349880276519286,-79.8622728189045,"church building, place_of_worship amenity"
44,Joe Ball, , ,40.5400861,-79.962333,car shop
45,Virginia Manor Shops, , ,40.392668283277416,-80.06572471258647, 
46,Saint Martins Cemetery, , ,40.4481246,-80.0375542,grave_yard amenity
47,First Commonwealth Bank,"339, Mansfield Avenue", ,40.4211311,-80.0507797,bank amenity
48,Brookline Elementary School Library, , ,40.394807,-80.0250428,library amenity
49,Jones Hall,"808, Ridge Avenue", ,40.45065124705629,-80.01391940177116,university building
50,West Hall, , ,40.45060635231244,-80.01461512583121,university building
51,K. Leroy Irvis Science Center, , ,40.44946076939616,-80.0153699675796,university building
52,Citizens Bank,"524, Allegheny River Boulevard",15139,40.51835465913049,-79.84245176479376,"yes building, bank amenity"
53,Armstron Auto Sales,"100, Allegheny River Boulevard",15139,40.51204393092593,-79.84311558745047,"car shop, yes building"
54,Keystone Physical Therapy,"666, Allegheny River Boulevard",15139,40.520975083274166,-79.8415113500374,"yes building, doctors amenity"
55,Tumacs Boat Covers, , ,40.33351287948406,-79.97231922687227,commercial building
56,Oakmont Carnegie Library,"700, Allegheny River Boulevard",15139,40.52208102004351,-79.84175255152945,"yes building, library amenity"
57,Leger Auto,"367, Plum Street",15139,40.512336487653236,-79.84221987072442,"car_repair shop, yes building"
58,Panera Bread,"666, Allegheny River Boulevard",15139,40.52108956751734,-79.84149686474265,"yes building, restaurant amenity, sandwich cuisine"
59,Oakmont Presbyterian Church,"415, Pennsylvania Avenue",15139,40.521547088876275,-79.83923645720512,"yes building, place_of_worship amenity"
60,Purnell Center for the Arts,"4908, Forbes Avenue", ,40.44345865078612,-79.94353186550762,"university building, arts_centre amenity"
61,UCP/Class,"1400, South Braddock Avenue",15218,40.42871789614574,-79.89266642317509,commercial building
62,Thornburg Conservation Park, , ,40.434675595822014,-80.07845165128309, 
63,Magisterial District Judge Tara L. Smith, , ,40.4979072,-80.0597951, 
64,Falconhurst Park, , ,40.510872536537185,-79.86333586423179, 
65,Redbox, , ,40.4936646,-80.0522601,vending_machine amenity
