,name,address,postalCode,latitude,longitude,categories
0,The Line @ Tanjong Rhu, , ,1.298321469926178,103.88468540867325, 
1,Tanjong Katong Girls' School,"20, Dunman Road",439272,1.307822199339578,103.89614879318816,school amenity
2,Ocean Park, , ,1.308817179986883,103.91843521297213, 
3,Wisma Daiman, , ,1.46846735,103.75976935000001,"mall shop, yes building, place_of_worship amenity"
4,M1 Bikers' Cafe,Changi Road, ,1.3190218,103.9113361,motorcycle shop
5,One Spa 1,Changi Road, ,1.3190018000000001,103.9112338,beauty shop
6,Sol Renovation Contractor PTE LTD,Changi Road, ,1.3190168,103.9115508, 
7,MV Agusta,Changi Road, ,1.3190118,103.9114809,motorcycle shop
8,Nippon Paint,Changi Road, ,1.3187571999999999,103.9098684,paint shop
9,Mak's Place,Changi Road, ,1.3189768,103.9110915,restaurant amenity
10,Chai Chee Seafood Restaurant,Changi Road, ,1.3188646,103.9101205,restaurant amenity
11,Bedok Reservoir, , ,1.336507429185644,103.93246868215127,train_station building
12,Choo Chiang Roasted Meats, , ,1.4310111,103.8282168,restaurant amenity
13,FlexMech,13B, ,1.312822935509998,103.65678334017602,yes building
14,Chung Cheng Prawn Noodles and Chilli Mee, , ,1.3033222,103.8638978,restaurant amenity
15,Roasted Chicken Rice, , ,1.3319249,103.8502122,restaurant amenity
16,Transco-Pac Building,"8, Tuas South Street 8", ,1.276711724896357,103.63268173843647,industrial building
17,Fountain Villa, , ,1.431508569867121,103.80029184784007,hut building
18,Tampines Street 86 (U/C), , ,1.355418248964055,103.93117699844676, 
19,adventure 21, , ,1.2890198,103.8470051,outdoor shop
20,Granite Hill, , ,1.2498614,103.8339456, 
21,Hoshino Coffee, , ,1.2946903,103.8599794,cafe amenity
22,Crystal Jade, , ,1.2946789,103.8592216,"restaurant amenity, chinese cuisine"
23,March Mvenpick,"3, Temasek Boulevard",038983,1.2947263,103.8601362,"restaurant amenity, european cuisine"
24,Tonkichi, , ,1.2945284,103.8599063,"restaurant amenity, japanese cuisine"
25,Ginza Lion, , ,1.2944345,103.8598486,"restaurant amenity, japanese cuisine"
26,Challenger, , ,1.2960897,103.8585182,computer shop
27,HSBC, , ,1.2948113,103.8600753,bank amenity
28,DBS, , ,1.2951505,103.8598741,bank amenity
29,Island Gdns, , ,1.3618854,103.8295188,yes building
30,JTC MedTech Hub,"2, Tukang Innovation Grove", ,1.3251473666734541,103.71042896789093,industrial building
31,UOB,"629, Ang Mo Kio Ave 4",560629,1.3801854,103.8404156,atm amenity
32,UOB,"57, Ang Mo Kio Avenue 8",567751,1.369412,103.8487634,atm amenity
33,UOB,"218, Balestier Road",329684,1.3212309,103.8531895,atm amenity
34,UOB,"63, Market Street",48942,1.2842399,103.85054769999999,atm amenity
35,UOB,"2450, Ang Mo Kio Avenue 8",569811,1.3695561,103.8496345,atm amenity
36,UOB,"8, Marina View",18960,1.27895,103.851,atm amenity
37,UOB,"311, New Upper Changi Road",467360,1.3242605,103.928872,atm amenity
38,OCBC,"539A, Bedok North Street 3",461539,1.332255,103.9255838,atm amenity
39,UOB,"101, Upper Bukit Timah Road",588216,1.3406039,103.775742,atm amenity
40,UOB,"204, Bedok North Street 1",460204,1.326293,103.9300111,atm amenity
41,Yong Bak Kut Teh, , ,1.3979979999999999,103.8184991,restaurant amenity
42,Blooms & Greens Pte Ltd, , ,1.4292234736366791,103.71207821125905, 
43,founder,"347, Balestier Road",329777,1.3243536,103.8510938,restaurant amenity
44,HarriAnns Nonya Table,Victoria Street,188024,1.3002386,103.8559407,"restaurant amenity, asian cuisine"
45,iResidences,"20, Irrawaddy Road",329550,1.325278989324524,103.84558230323275,condominium building
46,Shan Court, , ,1.324771366884546,103.84636205129193,yes building
47,Henderson Bldg,"221, Henderson Road",159557,1.280168099181395,103.82059999520482,yes building
48,Temasek Life Sciences Laboratory, , ,1.294283415343729,103.77709243427431,yes building
49,Singapore Woodcraft, , ,1.275373850000002,103.79705705,"furniture shop, yes building"
50,SJIJ,Essex Road, ,1.3176739,103.8460419,school amenity
51,Cold Storage, , ,1.4292976,103.8357691,supermarket shop
52,Pao Kwan Koh Temple, , ,1.35185117029503,103.83657464441315,place_of_worship amenity
53,Consular Office of Japan in Johor Bahru, , ,1.4602619,103.7627182,embassy amenity
54,Church of the Holy Spirit,Jalan Keli, ,1.3548183167840882,103.83391683320953,place_of_worship amenity
55,Blk 18A, , ,1.346416096949619,103.68930847304662,yes building
56,Blk 18D, , ,1.346104704789309,103.68929136636388,yes building
57,Blk 17C, , ,1.345691665792291,103.68829502162217,yes building
